date,om_precipitation_sum,om_temperature_2m_max,om_temperature_2m_min,om_relative_humidity_2m_max,om_windspeed_10m_max,power_allsky_sfc_sw_dwn,power_gwetroot,power_rh2m,power_t2m,power_t2m_max,power_t2m_min,power_prectotcorr,ndvi_s2,firms_count,firms_frp_mean,park,ecosystem,fire_within_30d,drought_within_30d,vegetation_within_30d
2020-01-10,0.0,31.2,17.5,26,15.8,20.74,0.24,19.95,23.52,31.81,16.57,0.0,,0,,chad_basin,sahel,1.0,0.0,0.0
2020-01-10,0.0,34.8,18.9,29,15.0,22.27,0.45,39.68,22.8,31.33,15.83,0.0,0.2422141709439682,13,762.7692307692307,yankari,savanna,1.0,0.0,0.0
2020-01-11,0.0,34.2,20.9,59,9.1,16.71,0.6,65.6,25.7,31.46,20.1,0.0,0.2302797310608871,8,264.7364638236704,kainji_lake,savanna,1.0,0.0,0.0
2020-01-11,1.6,32.2,24.0,98,9.8,17.44,0.73,82.56,26.35,30.78,22.46,0.0,,0,,cross_river,rainforest,1.0,0.0,0.0
2020-01-11,0.0,31.6,20.1,53,8.9,22.86,0.56,50.76,24.74,31.8,18.08,0.0,,24,571.5,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-11,0.1,32.8,21.5,99,10.9,15.49,0.67,81.18,24.79,30.46,20.49,0.16,0.167457754798802,0,,old_oyo,savanna,1.0,0.0,0.0
2020-01-11,0.0,32.6,17.7,24,16.2,21.64,0.24,18.12,24.34,34.0,16.21,0.0,,3,178.0,chad_basin,sahel,1.0,0.0,0.0
2020-01-11,0.0,35.1,19.0,31,13.5,22.17,0.45,37.55,23.01,31.96,15.18,0.0,,2,181.0,yankari,savanna,1.0,0.0,0.0
2020-01-12,0.0,35.8,19.1,28,14.8,22.37,0.45,34.29,23.98,33.07,14.95,0.0,0.2290629199877188,6,271.0,yankari,savanna,1.0,0.0,0.0
2020-01-12,0.0,34.7,22.5,62,15.1,18.28,0.6,57.72,26.41,30.61,21.48,0.0,,6,134.5,kainji_lake,savanna,1.0,0.0,0.0
2020-01-12,0.0,31.3,18.3,60,10.8,23.05,0.56,54.0,23.32,31.11,17.17,0.0,0.3886435356674089,37,424.7027027027027,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-12,0.0,34.0,22.2,99,9.0,16.6,0.67,74.61,25.84,31.32,20.86,0.11,,0,,old_oyo,savanna,1.0,0.0,0.0
2020-01-12,0.0,33.2,18.0,23,14.9,21.15,0.24,18.5,25.61,35.48,17.1,0.0,0.2610866798653464,0,,chad_basin,sahel,1.0,0.0,0.0
2020-01-12,1.2,34.2,23.1,100,7.8,19.1,0.73,76.88,27.04,31.96,22.83,0.0,,0,,cross_river,rainforest,1.0,0.0,0.0
2020-01-13,0.0,36.5,22.6,100,9.7,20.89,0.72,74.86,27.04,33.42,21.16,0.0,,0,,cross_river,rainforest,1.0,0.0,0.0
2020-01-13,0.0,37.3,19.0,33,11.3,23.07,0.45,40.26,24.92,33.98,15.92,0.0,,1,236.0,yankari,savanna,1.0,0.0,0.0
2020-01-13,0.0,34.8,21.1,54,11.2,19.98,0.59,54.94,25.42,32.03,19.33,0.0,,7,123.85714285714286,kainji_lake,savanna,1.0,0.0,0.0
2020-01-13,0.0,35.7,20.3,77,9.8,17.99,0.66,57.18,26.12,32.76,21.25,0.02,,0,,old_oyo,savanna,1.0,0.0,0.0
2020-01-13,0.0,35.2,19.5,20,13.3,21.82,0.24,21.13,26.71,36.53,17.61,0.0,,3,165.0,chad_basin,sahel,1.0,0.0,0.0
2020-01-13,0.0,32.9,19.5,43,12.8,24.18,0.55,50.6,23.86,32.53,16.09,0.0,,86,653.2093023255813,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-14,0.0,37.8,19.4,35,14.1,22.6,0.45,36.79,26.09,34.77,16.96,0.0,,3,388.0,yankari,savanna,1.0,0.0,0.0
2020-01-14,0.0,36.3,24.0,98,9.5,19.81,0.72,79.37,27.59,32.96,22.84,0.0,,4,218.5,cross_river,rainforest,1.0,0.0,0.0
2020-01-14,0.0,34.1,23.0,43,18.1,21.51,0.59,53.69,24.67,32.32,17.5,0.0,,6,91.58474576271186,kainji_lake,savanna,1.0,0.0,0.0
2020-01-14,0.0,36.0,18.2,21,18.0,22.37,0.24,19.16,26.53,36.88,17.56,0.0,0.3177165956110335,6,420.6666666666667,chad_basin,sahel,1.0,0.0,0.0
2020-01-14,0.0,35.5,18.7,79,10.9,21.08,0.66,51.17,25.7,33.04,18.28,0.01,,12,152.83333333333334,old_oyo,savanna,1.0,0.0,0.0
2020-01-14,0.0,33.3,21.0,53,8.4,22.82,0.55,48.95,23.95,33.05,16.45,0.0,0.4793941504492505,71,387.6444991789819,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-15,0.0,35.4,22.1,43,12.5,21.42,0.59,58.9,24.09,32.03,17.26,0.0,,3,300.0,kainji_lake,savanna,1.0,0.0,1.0
2020-01-15,0.0,31.8,19.0,36,11.7,22.46,0.54,48.22,23.76,32.68,16.67,0.0,,26,640.7692307692307,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-15,0.0,35.5,20.4,58,13.2,21.7,0.66,56.45,25.01,33.34,17.41,0.0,,9,247.0,old_oyo,savanna,1.0,0.0,1.0
2020-01-15,0.2,36.2,24.2,97,10.3,19.32,0.72,72.47,28.42,33.4,23.45,0.0,0.3742928170454478,0,,cross_river,rainforest,1.0,0.0,0.0
2020-01-15,0.0,33.7,19.9,22,22.0,22.74,0.45,35.07,22.27,31.48,15.41,0.0,0.2225156529505084,8,461.0,yankari,savanna,1.0,0.0,0.0
2020-01-15,0.0,31.2,18.2,31,21.1,22.57,0.24,22.11,23.35,33.06,15.87,0.0,,0,,chad_basin,sahel,1.0,0.0,0.0
2020-01-16,0.0,31.8,17.0,25,21.6,22.02,0.44,31.84,20.94,30.62,13.49,0.0,,9,228.3333333333333,yankari,savanna,1.0,0.0,0.0
2020-01-16,0.0,29.8,15.9,23,17.9,21.92,0.24,20.01,22.52,32.43,14.29,0.0,,0,,chad_basin,sahel,1.0,0.0,0.0
2020-01-16,0.0,35.7,22.0,99,11.7,19.56,0.72,59.43,25.84,31.92,20.52,0.0,,3,119.0,cross_river,rainforest,1.0,0.0,0.0
2020-01-16,0.0,28.9,18.0,36,12.2,22.98,0.54,45.79,21.87,29.95,14.25,0.0,,125,171.75351540528715,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-16,0.0,32.9,20.9,37,14.5,21.15,0.58,55.46,22.46,30.34,15.36,0.0,0.2558040364937539,9,159.44444444444446,kainji_lake,savanna,1.0,0.0,1.0
2020-01-16,0.0,34.6,20.5,40,12.8,19.92,0.65,60.22,22.83,31.24,16.87,0.0,0.3358024704450902,4,124.0,old_oyo,savanna,1.0,0.0,1.0
2020-01-17,0.0,28.9,17.5,41,11.6,22.53,0.54,47.5,22.15,30.59,14.09,0.0,0.3509703544247473,19,478.6315789473685,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-17,0.0,34.1,19.6,46,12.7,21.24,0.65,56.49,22.27,31.06,15.06,0.0,,5,126.2,old_oyo,savanna,1.0,0.0,1.0
2020-01-17,0.0,29.5,16.6,29,20.1,21.24,0.24,25.11,22.14,31.04,14.57,0.0,0.2434309606882374,9,706.5555555555555,chad_basin,sahel,1.0,0.0,0.0
2020-01-17,0.0,32.3,16.6,29,17.5,21.46,0.44,33.4,21.56,31.26,13.56,0.0,0.2002232798213602,3,128.66666666666666,yankari,savanna,1.0,0.0,0.0
2020-01-17,0.0,36.2,20.4,68,9.7,21.54,0.71,60.04,25.6,33.41,18.31,0.0,,35,823.4558047493404,cross_river,rainforest,1.0,0.0,0.0
2020-01-17,0.0,31.7,20.2,40,17.7,21.98,0.58,58.07,21.37,30.12,13.73,0.0,,15,276.7333333333333,kainji_lake,savanna,1.0,0.0,1.0
2020-01-18,0.0,31.6,19.6,46,16.6,20.98,0.58,56.66,21.67,30.12,13.6,0.0,,15,235.778362133734,kainji_lake,savanna,1.0,0.0,1.0
2020-01-18,0.0,28.4,17.8,47,13.3,21.7,0.54,52.19,21.68,29.36,14.65,0.0,,88,117.625,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-18,0.0,33.5,17.5,59,14.7,20.56,0.65,55.88,21.92,30.55,14.93,0.0,,17,521.1764705882352,old_oyo,savanna,1.0,0.0,1.0
2020-01-18,0.0,28.1,16.2,43,18.2,17.28,0.23,29.68,22.03,30.31,14.85,0.0,,4,250.75,chad_basin,sahel,1.0,0.0,0.0
2020-01-18,0.0,31.2,17.7,29,18.4,14.93,0.44,36.82,21.39,28.43,15.64,0.0,,0,,yankari,savanna,1.0,0.0,0.0
2020-01-18,0.0,35.1,19.0,87,10.5,20.24,0.71,70.33,24.83,30.72,20.2,0.0,,12,163.15272496831432,cross_river,rainforest,1.0,0.0,0.0
2020-01-19,0.0,28.3,15.4,39,19.6,21.02,0.23,28.83,22.44,31.34,14.73,0.0,0.3284273024910941,0,,chad_basin,sahel,1.0,0.0,0.0
2020-01-19,0.0,29.9,19.4,49,15.7,17.54,0.57,53.08,22.42,28.3,15.74,0.0,,20,95.65,kainji_lake,savanna,1.0,0.0,1.0
2020-01-19,0.0,35.0,18.6,78,8.3,19.54,0.71,64.22,26.19,33.16,21.1,0.0,,23,241.69565217391303,cross_river,rainforest,1.0,0.0,1.0
2020-01-19,0.0,33.0,19.9,38,13.9,17.17,0.64,59.84,22.39,29.96,15.91,0.0,,1,111.0,old_oyo,savanna,1.0,0.0,1.0
2020-01-19,0.0,28.3,17.0,47,13.4,19.85,0.54,52.46,21.73,29.55,15.37,0.0,0.3950639463833345,4,114.0,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-19,0.0,31.4,17.1,39,18.4,18.07,0.44,40.33,21.69,29.95,15.22,0.0,,3,375.0,yankari,savanna,1.0,0.0,0.0
2020-01-20,0.0,34.2,19.0,43,13.0,17.08,0.64,57.46,23.99,31.37,16.75,0.0,,0,,old_oyo,savanna,1.0,0.0,1.0
2020-01-20,0.0,31.3,19.2,51,14.2,16.42,0.57,59.38,23.57,30.4,16.53,0.0,,19,470.05263157894734,kainji_lake,savanna,1.0,0.0,1.0
2020-01-20,0.0,34.2,16.7,36,13.8,20.28,0.44,40.86,22.93,32.31,15.14,0.0,0.217142133618066,12,354.75,yankari,savanna,1.0,0.0,0.0
2020-01-20,0.0,35.8,21.0,69,9.4,19.75,0.71,68.67,26.38,32.5,20.31,0.0,0.4126847783436596,3,164.0,cross_river,rainforest,1.0,0.0,1.0
2020-01-20,0.0,30.1,17.6,51,12.8,19.98,0.53,54.38,22.81,30.81,16.24,0.0,,79,180.2911392405064,gashaka_gumti,mixed,1.0,0.0,0.0
2020-01-20,0.0,31.0,15.9,33,17.6,21.17,0.23,23.08,23.5,33.59,15.06,0.0,,3,183.0,chad_basin,sahel,1.0,0.0,0.0
2020-01-21,0.0,36.0,21.9,95,9.7,20.35,0.71,73.72,27.77,32.42,23.65,0.0,,4,224.0,cross_river,rainforest,1.0,0.0,1.0
