date,rain_7d,rain_30d,rain_60d,rain_deficit_30d,temp_max_7d,temp_max_30d,hot_days_30d,ndvi,ndvi_30d_lag,ndvi_change_30d,ndvi_90d_avg,ndvi_deviation,fire_30d,fire_90d,days_since_fire,doy_sin,doy_cos,dry_season,park_id,ecosystem_id,fire_within_30d,drought_within_30d,vegetation_within_30d,park,ecosystem,ndvi_missing,split
2022-07-31,14.900000000000006,68.3,82.8,-18.50645161290325,31.957142857142856,33.38666666666666,11.0,0.3868102667716861,0.2608702106166363,0.12594005615504983,0.25128174048017704,0.13552852629150908,46.0,401.0,17.0,-0.48408852163897587,-0.8750190302029955,0,4,3,0.0,0.0,1.0,chad_basin,sahel,0,train
2022-07-31,72.3,214.20000000000002,331.9,46.15161290322581,29.3,30.153333333333332,0.0,0.3058048321118171,0.333528973479111,-0.027724141367293897,0.2775322068753261,0.02827262523649099,0.0,0.0,122.0,-0.48408852163897587,-0.8750190302029955,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,0,train
2022-07-31,118.19999999999999,324.2,618.9999999999999,-34.46129032258062,28.228571428571428,29.08,0.0,,0.2285134022914053,,0.30735987096939943,,0.0,0.0,111.0,-0.48408852163897587,-0.8750190302029955,0,1,1,0.0,0.0,1.0,cross_river,rainforest,1,train
2022-07-31,59.90000000000001,209.49999999999997,394.6,29.758064516128997,24.91428571428571,25.546666666666667,0.0,0.4132526117269594,0.4062813277011262,0.006971284025833191,0.4051976652150569,0.008054946511902472,0.0,0.0,116.0,-0.48408852163897587,-0.8750190302029955,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,0,train
2022-07-31,33.199999999999996,81.5,291.90000000000003,-33.45161290322582,29.04285714285714,29.366666666666667,0.0,,,,0.36552865350329306,,0.0,0.0,99.0,-0.48408852163897587,-0.8750190302029955,0,5,0,0.0,0.0,1.0,old_oyo,savanna,1,train
2022-07-31,29.1,121.2,193.6,-24.654838709677406,28.442857142857147,30.113333333333333,0.0,0.147139644425547,0.1968995767766381,-0.04975993235109111,0.1696500681738898,-0.022510423748342806,0.0,2.0,54.0,-0.48408852163897587,-0.8750190302029955,0,0,0,0.0,0.0,0.0,yankari,savanna,0,train
2022-08-01,60.0,201.8,332.7,-87.31290322580645,29.04285714285714,30.153333333333332,0.0,,,,0.2775322068753261,,0.0,0.0,123.0,-0.4990686026885319,-0.8665624788845385,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,1,train
2022-08-01,65.30000000000001,212.1,394.7,38.22903225806451,24.942857142857143,25.57,0.0,0.4132526117269594,0.4062813277011262,0.006971284025833191,0.4036047048311599,0.009647906895799474,0.0,0.0,117.0,-0.4990686026885319,-0.8665624788845385,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,0,train
2022-08-01,50.00000000000001,102.6,117.9,-98.83548387096775,30.685714285714283,33.026666666666664,10.0,0.3868102667716861,0.1860262319319367,0.2007840348397494,0.251363672337277,0.1354465944344091,43.0,401.0,18.0,-0.4990686026885319,-0.8665624788845385,0,4,3,0.0,0.0,1.0,chad_basin,sahel,0,train
2022-08-01,35.3,83.3,294.3,-62.1516129032258,28.7,29.296666666666667,0.0,,,,0.36552865350329306,,0.0,0.0,100.0,-0.4990686026885319,-0.8665624788845385,0,5,0,0.0,0.0,1.0,old_oyo,savanna,1,train
2022-08-01,114.69999999999999,323.70000000000005,615.9,60.61935483870974,28.74285714285714,29.05,0.0,,0.2285134022914053,,0.30735987096939943,,0.0,0.0,112.0,-0.4990686026885319,-0.8665624788845385,0,1,1,0.0,0.0,1.0,cross_river,rainforest,1,train
2022-08-01,30.300000000000004,121.6,194.29999999999998,-95.88387096774196,28.614285714285717,30.09,0.0,0.147139644425547,0.1968995767766381,-0.04975993235109111,0.1691489857637128,-0.02200934133816579,0.0,2.0,55.0,-0.4990686026885319,-0.8665624788845385,0,0,0,0.0,0.0,0.0,yankari,savanna,0,train
2022-08-02,65.10000000000001,214.89999999999998,399.6,41.02903225806449,24.385714285714283,25.433333333333334,0.0,,,,0.40187631231136295,,0.0,0.0,118.0,-0.5139010013093103,-0.8578494977869301,0,2,2,0.0,0.0,0.0,gashaka_gumti,mixed,1,train
2022-08-02,42.7,201.8,332.7,-87.31290322580645,28.800000000000004,30.086666666666666,0.0,,,,0.2775322068753261,,0.0,0.0,124.0,-0.5139010013093103,-0.8578494977869301,0,3,0,0.0,0.0,0.0,kainji_lake,savanna,1,train
2022-08-02,55.7,147.1,220.0,-70.38387096774196,27.785714285714285,29.866666666666667,0.0,,0.2027835946922334,,0.16933036289225828,,0.0,2.0,56.0,-0.5139010013093103,-0.8578494977869301,0,0,0,0.0,0.0,0.0,yankari,savanna,1,train
2022-08-02,63.10000000000001,116.5,131.8,-84.93548387096774,29.657142857142855,32.78,9.0,,0.1860262319319367,,0.24988968853256888,,43.0,401.0,19.0,-0.5139010013093103,-0.8578494977869301,0,4,3,0.0,0.0,1.0,chad_basin,sahel,1,train
2022-08-02,103.1,306.40000000000003,615.3,43.31935483870973,28.957142857142856,29.076666666666664,0.0,,0.2822084870153806,,0.30735987096939943,,0.0,0.0,113.0,-0.5139010013093103,-0.8578494977869301,0,1,1,0.0,0.0,1.0,cross_river,rainforest,1,train
2022-08-02,22.299999999999994,82.7,294.5,-62.75161290322579,28.41428571428571,29.21333333333333,0.0,,,,0.36552865350329306,,0.0,0.0,101.0,-0.5139010013093103,-0.8578494977869301,0,5,0,0.0,0.0,1.0,old_oyo,savanna,1,train
2022-08-03,21.09999999999999,79.5,294.2,-65.9516129032258,28.257142857142856,29.166666666666668,0.0,0.4957102768504628,,,0.36455267237171674,0.13115760447874608,0.0,0.0,102.0,-0.5285813283559292,-0.8488826652214553,0,5,0,0.0,0.0,1.0,old_oyo,savanna,0,train
